,Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit
,2,Investment Banks,Bank Rakyat Investment Bank Berhad,"Syed Azlan (Chief Information Security Officer) [ZoomInfo professional database, conf 60 - group-level CISO at Bank Rakyat Malaysia covers subsidiary BRIB. Cross-ref: LinkedIn employee reports to CISO at Bank Kerjasama Rakyat Malaysia Berhad. Not on public Management Committee page (bankrakyat.com.my/portal-main/leaders/management-committee) which lists 8 SMT members excluding CISO. Verified Jul 2026.]","Fuhaizad Asmar Omar (Senior Manager Audit, Compliance & Governance) [Official: rmanagement.com.my/en/leadership - combined GRC+Audit+Compliance role at subsidiary level. Conf 80]",Nor Haimee Zakaria (Chief Finance Officer) [Group-level: Bank Rakyat],Azni Azaddin (Group Chief Risk Officer) [Group-level: Bank Rakyat],Jufree Soaidin (Group Chief Compliance Officer) [Group-level: Bank Rakyat],"Ismat Nazarul Mat Isa (Senior Manager Finance & IT) [Official: rmanagement.com.my/en/leadership, conf 82 - note: subsidiary-level, combined Finance & IT role]","Fuhaizad Asmar Omar (Senior Manager Audit, Compliance & Governance) [Official: rmanagement.com.my/en/leadership, conf 85 - note: subsidiary-level, combined Audit+Compliance+Governance role]"
,2,Investment Banks,CIMB Investment Bank Berhad,Charles Samuel (Group CISO) [Group-level: CIMB],Kwan Keen Yew (Group Chief Integrity & Governance Officer) [Official: cimb.com],Khairul Rifaie (Group CFO & Strategy Officer) [Official: cimb.com],Vera Handajani (Group CRO) [Official: cimb.com],Kwan Keen Yew (Group Chief Legal & Compliance Officer) [Official: cimb.com],Ros Aziah Mohd Yusoff (Group CTO) [Official: cimb.com],Amran Mohamad (Group Chief Internal Auditor) [Group-level: CIMB]
,2,Investment Banks,Hong Leong Investment Bank Berhad,"Dr. Simon Hoh (Group CISO) [Group-level: Hong Leong Bank, TheOrg: theorg.com/org/hong-leong-bank/org-chart/dr-simon-hoh, conf 60 - HL Capital AR 2025 lists 7 KSM members, no CISO; inherited from HLB group]",Justin Soong (CRO) + Jack Babani (Compliance) [Group-level composite],"San Kah Yee (Chief Financial Officer, HLIB) [Official: HL Capital AR 2025 Key Senior Management (hlib.com.my/Files/AnnualReports/HL_Capital_AR2025.pdf), conf 95 — entity-specific CFO for HLIB. Previous group-level fill Malkit Singh is HL Bank Group CFO; AR 2025 confirms San Kah Yee as HLIB CFO]",Justin Soong (Group CRO) [Group-level: Hong Leong Bank],Jack Babani (CCO) [Group-level: Hong Leong Bank],William Streitberg (Chief Info & Tech Officer) [Group-level: Hong Leong Bank],Chua Yew Lim (Chief Internal Auditor) [Group-level: Hong Leong Bank]
,2,Investment Banks,JF Apex Securities Berhad,No dedicated CISO publicly listed; small stockbroking firm (~150 employees); cybersecurity handled within Group CTO function,No dedicated Head of GRC; Group Board Risk Committee (Chairperson: Rozana binti Shamsuddin) provides board-level oversight per Apex Equity Holdings AR 2023,Tan Cheng Han|Group Financial Controller|85|https://apexequity.com.my/board-of-directors-and-key-management/,No dedicated CRO at management level; risk function overseen by Group Board Risk Committee (Chairperson: Rozana binti Shamsuddin) per Apex Equity Holdings AR 2023,Compliance function exists per SC regulations but individual not publicly named in annual reports or corporate website,Lim Chee Tooh Kelvin|Group Chief Technology Officer|80|https://apexequity.com.my/board-of-directors-and-key-management/,Internal audit function exists per Group Audit Committee (Chairperson: Woon Wai En) but individual not publicly named
,2,Investment Banks,Kenanga Investment Bank Berhad,Low Jia Yee — Chief Technology Officer (CISO-equivalent) [Official: kenanga.com.my/who-we-are/our-people/company/kenanga-investment-bank-berhad/] | conf 75 | No dedicated CISO/Head of IT Security among 25+ executives. CTO is closest equivalent.,Tai Yan Fee (CRO) + Choo Siew Fun (Compliance) [Group-level composite],Cheong Boon Kak (Group Chief Financial & Operations Officer) [Official: kenanga.com.my],Tai Yan Fee (Group Chief Risk Officer) [Official: kenanga.com.my],Choo Siew Fun (Group Chief Compliance & Ethics Officer) [Official: kenanga.com.my],Low Jia Yee (Chief Technology Officer) [Official: kenanga.com.my],Terence Tan Kian Meng (Group Chief Internal Auditor) [Official: kenanga.com.my]
,2,Investment Banks,MIDF Amanah Investment Bank Berhad,"Ts. Kathiresan Narayanasamy (SVP, Chief Information Security Officer) [AroundDeal + ZoomInfo: @midf.com.my email, previously CISO at Pos Malaysia. MEDIUM-LOW conf - unverified via web search, not on official MIDF key management page. Verified Jul 2026.]",Nor Azita Binti Sarip (SVP/Head Group Secretarial & Legal) [Official: midf.com.my],"Shahnaz Jammal (Group Chief Financial Officer, MBSB Bank) [Official: mbsb.com/corporate_about_team.html, conf 80 - Group-level]","Laurence Ong Wooi Keat (Group Chief Risk Officer, MBSB Bank) [Official: mbsb.com/corporate_about_team.html, conf 80 - Group-level]",Meor Ibrahim Othman (SVP/Head Group Compliance) [Official: midf.com.my],"Noor Azman Bin Abdul Karim (Group Chief Technology Officer, MBSB Bank) [Official: mbsb.com/corporate_about_team.html, conf 80 - Group-level]",Zanariah Daud (SVP/Head Group Control Assurance) [Official: midf.com.my]
,2,Investment Banks,Maybank Investment Bank Berhad,"Devinder Singh (Group CISO) [Group-level: Maybank, Official: maybank2u.com.my + LinkedIn/The Org, conf 85 - CISO function shared with Maybank group per SORMIC FY2023]",Cheryl Cheng Siew Ying (CRO) + Farhan Nor Diyana Samsudin (CCO) [Composite - GRC function split between Risk and Compliance at Maybank IB level; no dedicated GRC head. Group-level Maybank has Ho Mun Wah as Head of GRC but not at IB subsidiary. CRO and CCO confirmed via Maybank IB SORMIC FY2023.],"Ezrina Mahadzir (CFO, appointed 1 Apr 2021) [Official: maybank2u.com.my]","Cheryl Cheng Siew Ying (CRO, appointed 1 Jan 2021) [Official: maybank2u.com.my]","Farhan Nor Diyana Samsudin (Chief Compliance Officer, Maybank Investment Bank Berhad) [Official: Maybank IB SORMIC FY2023 (Statement on Risk Management and Internal Control, FY ended 31 Dec 2023) — ""Reviewed and cleared by: Group Audit Compliance: Farhan Nor Diyana Samsudin, Chief Compliance Officer, Maybank Investment Bank Berhad""; maybank2u.com.my iwov-resources PDF, conf 90]","Adrian Tan Kai Thern (Head of IT, joined 25 Apr 2022) [Official: maybank2u.com.my]","Rafirah Muhammad Arif (Chief Audit Executive, Maybank Investment Bank Berhad) [Official: Maybank IB SORMIC FY2023 — ""The GCAE is assisted by Puan Rafirah Muhammad Arif, the Chief Audit Executive (CAE) appointed to oversee the IA function of Maybank IB""; Certified Fraud Examiner, 13 years capital market experience; maybank2u.com.my iwov-resources PDF, conf 90]"
,2,Investment Banks,Phillip Securities (Malaysia) Sdn Bhd,"No dedicated CISO publicly listed; mid-size stockbroking firm — cybersecurity likely managed within IT function under Yorck Oliver Ago Reuber (IT Director) [Official: phillipinvest.com.my/the-management-team/, conf 90]","No dedicated Head of GRC; GRC functions overseen by Ramli Abd Hamid (Head of Legal, Compliance & Risk Management) [Official: phillipinvest.com.my/the-management-team/, conf 90]","Alina Sim (HOD Finance / CFO) [Official: phillipinvest.com.my/the-management-team/, conf 95]","Ramli Abd Hamid (Head of Legal, Compliance & Risk Management) [Official: phillipinvest.com.my/the-management-team/, conf 95 - combined Legal/Compliance/Risk role]","Ramli Abd Hamid (Head of Legal, Compliance & Risk Management) [Official: phillipinvest.com.my/the-management-team/, conf 95 - combined role]","Yorck Oliver Ago Reuber (IT Director) [Official: phillipinvest.com.my/the-management-team/, conf 95]","Fatin Fitriana Amran (Head of Internal Audit) [Official: phillipinvest.com.my/the-management-team/, conf 95]"
,2,Investment Banks,Public Investment Bank Berhad,"Irene Deng (Group CISO) [Group-level: Public Bank; RocketReach, conf 60]",Jasmine Loh Sook Ling (CRO) + Tan Shien Doon (Compliance) [Group-level composite],"Yik Sook Ling (CFO, Public Bank Group) [Official: publicbankgroup.com]","Jasmine Loh Sook Ling (CRO, Public Bank Group) [Official: publicbankgroup.com]","Tan Shien Doon (CCO, Public Bank Group) [Official: publicbankgroup.com]","Fam Yoke Fong (Senior GM, IT, Public Bank Group) [Official: publicbankgroup.com]","Lim Then Fui (Group Chief Internal Auditor, Public Bank Group) [Official: publicbankgroup.com]"
,2,Investment Banks,RHB Investment Bank Berhad,Soon Yap (CISO) [Group-level: RHB],Azman Shah Md Yaman (Group Chief Legal & Governance Officer) [Official: rhbgroup.com],Mohamed Bin Rastam Shahrom (Group CFO) [Official: rhbgroup.com],Dr Chong Han Hwee (Group CRO) [Official: rhbgroup.com],Fazlina Mohamed Ghazalli (Group CCO) [Official: rhbgroup.com],Wong Kwang Leh (Group CTO) [Official: rhbgroup.com],Tan Boon Ching (Group Chief Internal Auditor) [Official: rhbgroup.com]
,2,Takaful,AIA Public Takaful Berhad,"Chee Lung Yuen (Director, Technology Risk Management & BCM - CISO) [Group-level: AIA Shared Services covers all AIA entities in Malaysia including AIA Public Takaful Bhd. Conf 80]",Datin Veronica Selvanayagy (General Counsel) [Official: aia.com.my],Edwin Peh (CFO) [Official: aia.com.my],Tan Teoh Guan (CRO) [Official: aia.com.my],"Ahmad Faisal Ahamad Nawawi (Associate Director, Compliance) [Official: aia.com.my, conf 90]",Sherlly Yuan Xiaoli (CTO) [Official: aia.com.my],"Not publicly disclosed on leadership page [Official: aia.com.my/en/about-aia/aia-subsidiaries/about-aia-bhd/leadership-team — as of Jul 2026; shared audit function with AIA Bhd, conf 40]"
,2,Takaful,Allianz Takaful Berhad,"SHARES PARENT — No dedicated CISO for Allianz Takaful; cybersecurity managed at AMB group level [Source: allianz.com.my IAR 2024, conf 80]","SHARES PARENT — No dedicated Head of GRC for Allianz Takaful; GRC functions managed at AMB group level [Source: allianz.com.my IAR 2024, conf 80]","Chin Xiao Wei (CFO) [SimplyWallSt lists ""Xiao Chin"" = Chin Xiao Wei. IAR 2024 confirms CFO of Allianz General but Takaful NOT mentioned in IAR. Group CFO may cover Takaful but unconfirmed. Source: SimplyWallSt + IAR 2024 cross-ref, conf 70]","SHARES PARENT — No dedicated CRO for Allianz Takaful; risk oversight via Board Risk Management Committee at AMB group level [Source: allianz.com.my IAR 2024, conf 80]","SHARES PARENT — No dedicated Head of Compliance for Allianz Takaful; compliance managed at AMB group level [Source: allianz.com.my IAR 2024, conf 80]","David Brandl (Chief Information Technology Officer, Group) [Official: Allianz Malaysia IAR 2024 p.111 via Wayback Machine, conf 80 — upgraded from 70. Group CIO likely covers Takaful but IAR 2024 does not mention Takaful]","Narayana Samy Naidu Renugopal (Group Head of Internal Audit Department) [Official: Allianz Malaysia CG Report 2024 via Wayback Machine, conf 78. Group-level IA likely covers Takaful but IAR 2024 does not mention Takaful]"
,2,Takaful,Etiqa Takaful Berhad,Devinder Singh Sardool Singh (CISO) [Official: etiqa.com],Nurliana Mat Lazim (CRO/Compliance - GRC) [Official: etiqa.com],Lee Hin Sze (CFO) [Official: etiqa.com],Nurliana Mat Lazim (Chief Risk & Compliance Officer) [Official: etiqa.com],Roslina Mohd Ramza (CCO) [Official: etiqa.com],Dennis Liu (CTO) [Official: etiqa.com],"Azian Ismail (Chief Audit Executive, Maybank Group) [Group-level: Maybank]"
,2,Takaful,Family Takaful Berhad,"Nazaruddin Adha bin Md Noor (Chief Technology Officer - CISO-equivalent) [Official: takaful-malaysia.com.my/en/about-us/our-leaders, conf 75 - CISO-equivalent, no dedicated CISO published]","Shizal Fisham bin Ramli (Chief Governance Officer) [takaful-malaysia.com.my, HIGH-90]","New Kheng Chee (Group CFO) [takaful-malaysia.com.my, HIGH-90]","Shizal Fisham Ramli (Chief Risk Officer) [Malaysian Insurance Directory 2025/2026, conf 85 - note: same name appears at Takaful Malaysia GRC; cross-entity role]","Redzuan bin Abu [takaful-malaysia.com.my, HIGH-90]","Nazaruddin Adha bin Md Noor (CTO) [takaful-malaysia.com.my, HIGH-90]","Zuhairi bin Ismail (Chief Internal Auditor) [takaful-malaysia.com.my, HIGH-90]"
,2,Takaful,General Takaful Berhad,Not publicly disclosed on official leadership page,"Shizal Fisham bin Ramli (Chief Governance Officer) [takaful-malaysia.com.my, HIGH-90]","New Kheng Chee (Group CFO) [takaful-malaysia.com.my, HIGH-90]","Not publicly disclosed on leadership page [Official: takaful-malaysia.com.my/en/about-us/our-leaders, Jul 2026. Chief Governance Officer covers risk function. conf 90]","Redzuan bin Abu [takaful-malaysia.com.my, HIGH-90]","Nazaruddin Adha bin Md Noor (CTO) [takaful-malaysia.com.my, HIGH-90]","Zuhairi bin Ismail (Chief Internal Auditor) [takaful-malaysia.com.my, HIGH-90]"
,2,Takaful,HSBC Amanah Takaful (Malaysia) Berhad,"Not publicly disclosed [Official: fwd.com.my & about.hsbc.com.my — as of Jul 2026, conf 25]","Not publicly disclosed [Official: fwd.com.my & about.hsbc.com.my — as of Jul 2026, conf 25]","Muhammad Afiq bin Hamzah (Acting Chief Financial Officer) [Official: fwd.com.my/about-us/tkfl/meet-our-team, conf 95 — confirmed. Title is ""Acting CFO""]","Not publicly disclosed [Official: fwd.com.my & about.hsbc.com.my — as of Jul 2026, conf 25]","Lim Weng Leong (Head of Compliance) [Official: fwd.com.my/about-us/tkfl/meet-our-team, conf 95 — confirmed. 1 of 6 executive management team members]","Not publicly disclosed [Official: fwd.com.my & about.hsbc.com.my — as of Jul 2026, conf 25]","Not publicly disclosed [Official: fwd.com.my & about.hsbc.com.my — as of Jul 2026, conf 25]"
,2,Takaful,Manulife Takaful Malaysia Berhad,"SHARES PARENT — No dedicated CISO for Manulife Takaful; cybersecurity managed at Manulife Holdings Berhad group level [Official: Manulife Holdings Berhad AR 2024, conf 85]","Jasbender Kaur (Chief Counsel & Corporate Services Officer, MHB - management shared) [Official: Manulife Holdings Berhad AR 2024, conf 85 - shared management with Manulife Insurance Berhad]","Ng Chun Nam (Chief Financial Officer, Manulife Insurance Berhad - management shared) [Official: Manulife Annual Report 2024, conf 85]","Mohd Naim Bin Mohd Arsad (Chief Risk Officer, Manulife Insurance Berhad - management shared) [Official: Manulife Holdings Berhad Annual Report 2025, p.13 Key Senior Management's Profile, conf 85]","Senthil Woon Wai Keong (Chief Compliance Officer, Manulife Insurance Berhad - management shared) [Official: Manulife Holdings Berhad Annual Report 2025, p.13 Key Senior Management's Profile, conf 85]","Bernard Sia (Chief Information Officer, Manulife Insurance Berhad - management shared) [Official: Manulife Annual Report 2024, conf 85]","Krishna Rajaa Ramalingam (Head of Audit Services - Malaysia) [Official: Manulife Holdings Berhad Annual Report 2025, p.91 Group Audit Committee Report, conf 90 - CIA, FAIA. Scope covers all Manulife Malaysia entities including Takaful]"
,2,Takaful,Prudential BSN Takaful Berhad,"Eng Fun Darren See (CISO / Head of Technology Risk) [LinkedIn: my.linkedin.com/in/eng-fun-darren-see-02251714 — confirmed Jul 2026. PruBSN 2025 FS mentions ""Head of Technology Risk""; LinkedIn profile confirms CISO/Head of Technology Risk role. Conf 75]","CEO: Wan Ismail (CEO) [RocketReach]; Zanariah Zahari (Director, Compliance) [RocketReach]; 12 executives per theofficialboard including Saifulrizal Ismail, Kelvin Wong (CFO), Ahmir Ud Deen [theofficialboard.com]","Kelvin Wong (Chief Financial Officer) [Official: prubsn.com.my/en/about-us/about-prubsn/our-leaders, conf 95 — confirmed on official ExCo page as of Jul 2026]","Anita Menon|Chief Risk Officer|80|https://theorg.com/org/prudential-bsn-takaful-berhad/org-chart/anita-menon-acma|REINSTATED from v5.23 STALE note. Anita Menon confirmed CURRENT CRO via 4 independent sources: (1) TheOrg ""joined PruBSN as CRO in 2012, a position they hold to this day""; (2) LeadIQ (May 2026) ""Chief Risk Officer: A.M.A."" (= Anita Menon ACMA); (3) ContactOut ""Anita Menon Acma Chief Risk Officer""; (4) TheOfficialBoard bio. Prior v5.23 note (""not on current ExCo scrape, may have departed"") was over-pessimistic - CRO is not on the ExCo page subset. Multi-source cross-referenced, present-tense confirmation.","Anita Menon|Chief Risk Officer / Chief Compliance Officer (combined role)|70|https://theorg.com/org/prudential-bsn-takaful-berhad/org-chart/anita-menon-acma|Inferred combined role: PruBSN 2025 Audited FS references a single combined ""Chief Risk Officer (CRO) / Chief Compliance Officer"" position. Anita Menon confirmed as CRO (multi-source, conf 80) -> holds combined CRO/CCO role. No separate Chief Compliance Officer listed in TheOrg, LeadIQ, or ContactOut. Confidence 70 (inference from FS combined-role reference + CRO confirmation).","Not publicly disclosed on Prudential BSN Takaful leadership page [Official: prubsn.com.my/en/about-us/about-prubsn/our-leaders, conf 85]","Not publicly disclosed on Prudential BSN Takaful leadership page [Official: prubsn.com.my/en/about-us/about-prubsn/our-leaders, conf 85]"
,2,Takaful,Syarikat Takaful Malaysia Berhad,Not publicly disclosed on official leadership page,Shizal Fisham bin Ramli (Chief Governance Officer) [Official: takaful-malaysia.com.my],New Kheng Chee (Group CFO) [Official: takaful-malaysia.com.my],"Not publicly disclosed on leadership page [Official: takaful-malaysia.com.my/en/about-us/our-leaders, Jul 2026. Chief Governance Officer covers risk function. conf 90]",Redzuan bin Abu (Head of Compliance) [Official: takaful-malaysia.com.my],Nazaruddin Adha bin Md Noor (CTO) [Official: takaful-malaysia.com.my confirmed 2026-07-26] — Note: ET CIO SEA reported Ts. Tengku Intan joined as CTO Jan 2025 [ciosea.economictimes.indiatimes.com/news/corporate/ts-tengku-intan-joins-syarikat-takaful-malaysia-as-chief-technology-officer/116882054]; current official site lists Nazaruddin suggesting role change or departure,Zuhairi bin Ismail (Chief Internal Audit) [Official: takaful-malaysia.com.my]
,2,Takaful,Takaful Am General Berhad,Not publicly disclosed on official leadership page,"Shizal Fisham bin Ramli (Ketua Pegawai Tadbir Urus / Chief Governance Officer, Takaful Malaysia group) [Official: takaful-malaysia.com.my/tentang-kami/barisan-kepimpinan/, conf 60 - covers Governance component of GRC; Compliance separately headed by Redzuan bin Abu]","Sharmini Perampalam (EVP & Group CFO) [mnrb.com.my, HIGH-90]","Not publicly disclosed [Official: takaful-malaysia.com.my/en/about-us/our-leaders & mnrb.com.my, Jul 2026. conf 85]","Abd Ghafur Ahmad (SVP & Group Chief Compliance Officer) [mnrb.com.my, HIGH-90]","Aaron Loo (SVP & Group Chief Transformation Officer) [mnrb.com.my, MEDIUM-65]","Haniza Filzah Hayani Abu Haniffa (SVP & Group Chief Internal Auditor) [mnrb.com.my, HIGH-90]"
,2,Takaful,Takaful IKHLAS Berhad,"Not publicly disclosed on MNRB/Takaful IKHLAS leadership pages [Official: mnrb.com.my, conf 85]","Abd Ghafur Ahmad (Senior VP & Group Chief Compliance Officer, MNRB Group) [Official: mnrb.com.my/about-us/our-leadership, conf 75 - Group Chief Compliance Officer functionally covers GRC; same person as Head of Compliance column]","Sharmini Perampalam (Executive VP and Group CFO, MNRB Group) [Official: mnrb.com.my, conf 75 - group-level]","Leong Joe Yee (Senior VP & Group Chief Risk Officer, MNRB Group) [Annual Report 2025: mnrb.com.my/api/uploads/WEBSITE_MNRB_AR_2025_cc4e87ede9.pdf, conf 90]","Abd Ghafur Ahmad (Senior VP & Group Chief Compliance Officer, MNRB Group) [Official: mnrb.com.my, conf 75 - group-level]","Lee Kok Seong (Senior VP & Chief Information Officer) [Malaysian Insurance Directory 2025/2026, conf 90]","Haniza Filzah Hayani Abu Haniffa (Senior VP and Group Chief Internal Auditor, MNRB Group) [Official: mnrb.com.my, conf 75 - group-level]"
,2,Takaful,Zurich Takaful Malaysia Berhad,"Terrence Chock (Head of Information Security / BISO - Singapore & Indonesia, Zurich Insurance Company Ltd) [Group-level: infosec function shared regionally; CSO30 ASEAN 2025 winner; covers Singapore & Indonesia, Malaysia likely under group structure. conf 60] [CSO30 ASEAN 2025: cybersecurityinfocus.com/?p=5791]","Not publicly disclosed on leadership page [Official: zurich.com.my/about-zurich/the-zurich-story/our-leaders — as of Jul 2026, conf 30]. Confirmed Jul 2026: Official Our Leaders page (zurich.com.my/about-zurich/the-zurich-story/our-leaders) lists 4 entity CEOs + board + Shariah committee only; no CISO/CRO/Compliance/CIO/GRC disclosed. conf 95 Confirmed Aug 2026 via official Zurich Malaysia leaders page - only CEOs and Board members listed.]","Timothy William Howell (Executive Director / Head of Finance and CFO Asia Pacific) [Official: Zurich Life Insurance Malaysia Berhad AR 2024; Zurich Malaysia leadership page confirms shared governance under Country CEO Junior Cho, confirmed Aug 2026]","Not publicly disclosed on leadership page [Official: zurich.com.my/about-zurich/the-zurich-story/our-leaders — as of Jul 2026, conf 30]. Confirmed Jul 2026: Official Our Leaders page (zurich.com.my/about-zurich/the-zurich-story/our-leaders) lists 4 entity CEOs + board + Shariah committee only; no CISO/CRO/Compliance/CIO/GRC disclosed. conf 95 Confirmed Aug 2026 via official Zurich Malaysia leaders page - only CEOs and Board members listed.]","Not publicly disclosed on leadership page [Official: zurich.com.my/about-zurich/the-zurich-story/our-leaders — as of Jul 2026, conf 30]. Confirmed Jul 2026: Official Our Leaders page (zurich.com.my/about-zurich/the-zurich-story/our-leaders) lists 4 entity CEOs + board + Shariah committee only; no CISO/CRO/Compliance/CIO/GRC disclosed. conf 95 Confirmed Aug 2026 via official Zurich Malaysia leaders page - only CEOs and Board members listed.]","Not publicly disclosed on leadership page [Official: zurich.com.my/about-zurich/the-zurich-story/our-leaders — as of Jul 2026, conf 30]. Confirmed Jul 2026: Official Our Leaders page (zurich.com.my/about-zurich/the-zurich-story/our-leaders) lists 4 entity CEOs + board + Shariah committee only; no CISO/CRO/Compliance/CIO/GRC disclosed. conf 95 Confirmed Aug 2026 via official Zurich Malaysia leaders page - only CEOs and Board members listed.]","Jan Yoke Lan (Chairperson of Audit Committee) [Official: Zurich Takaful Malaysia Berhad AR 2024 PDF — Corporate Governance Statement p.4,7, conf 95 — board-level oversight, not executive CAE. Chaired Audit Committee (15/16 meetings attended FY2024). INED, former BNM 10 years, former Senior Research Analyst UBS/RHB. No named executive Head of Internal Audit in AR 2024.]"
,3,Asset Management,CIMB-Principal Asset Management Berhad,"SHARES PARENT — No dedicated CISO; cybersecurity managed at CIMB Group level (Charles Samuel, Group CISO) [Source: cimb.com, conf 85]","Lim Khai Qi (Head, Risk Management - ASEAN)","Hiten Asher (CFO, Southeast Asia)","Lim Khai Qi (Head, Risk Management)","Nadia Bakar (Head, Compliance)",Ng Jit Seng (COO & Head of Agency & Digital Business),"Amran Mohamad (Group Chief Internal Auditor, CIMB Group) [Group-level shared service: CIMB Group IAR 2025 + CG Report 2025 — GCAD covers all subsidiaries including CIMB-Principal AM] | conf 55"
,3,Asset Management,Hong Leong Asset Management Berhad,"SHARES PARENT — No dedicated CISO; cybersecurity managed at Hong Leong Group level (Dr. Simon Hoh, Group CISO) [Source: hlb.com.my, conf 80]","SHARES PARENT — No dedicated Head of GRC; GRC managed at Hong Leong Group level (Justin Soong, Group CRO; Jack Babani, Group CCO) [Source: hongleongbank.com, conf 80]","San Kah Yee|Chief Financial Officer, Hong Leong Capital Berhad (parent, shared service — HLIB/HLCB group CFO confirmed in HLCB Annual Report FY2025)|75|https://www.hlcap.com.my/data/annual-reports/Annual-Report-2025-new.pdf|Confirmed in HLCB Annual Report FY2025 (official). HLAM is a subsidiary of HLCB; no dedicated HLAM CFO identified. [Official annual report, conf 75]","SHARES PARENT — No dedicated CRO; risk managed at Hong Leong Group level (Justin Soong, Group CRO) [Source: hlb.com.my, conf 80]","SHARES PARENT — No dedicated Head of Compliance; compliance managed at Hong Leong Group level (Jack Babani, Group CCO) [Source: hlb.com.my, conf 80]","SHARES PARENT — No dedicated CIO; IT managed at Hong Leong Group level (William Streitberg, Chief Info & Tech Officer) [Source: hlb.com.my, conf 80]","SHARES PARENT — No dedicated Head of Internal Audit; IA managed at Hong Leong Group level (Chua Yew Lim, Chief Internal Auditor) [Source: hlb.com.my, conf 80]"
,3,Asset Management,Maybank Asset Management Group Sdn Bhd,"SHARES PARENT — No dedicated CISO; cybersecurity managed at Maybank Group level (Devinder Singh, Group CISO) [Source: maybank2u.com.my, conf 85]","SHARES PARENT — No dedicated Head of GRC; GRC managed at Maybank Group level [Source: maybank2u.com.my, conf 85]","SHARES PARENT — No dedicated CFO; financial management shared at Maybank Group level (Ezrina Mahadzir, Group CFO for Maybank IB) [Source: maybank2u.com.my, conf 80]","SHARES PARENT — No dedicated CRO; risk managed at Maybank Group level [Source: maybank2u.com.my, conf 85]","SHARES PARENT — No dedicated Head of Compliance; compliance managed at Maybank Group level [Source: maybank2u.com.my, conf 85]","SHARES PARENT — No dedicated CIO; IT managed at Maybank Group level (Adrian Tan Kai Thern, Head of IT for Maybank IB) [Source: maybank2u.com.my, conf 80]","SHARES PARENT — No dedicated Head of Internal Audit; IA managed at Maybank Group level (Azian Ismail, Chief Audit Executive for Maybank Group) [Source: maybank2u.com.my, conf 85]"
,3,Asset Management,Public Mutual Berhad,"SHARES PARENT — No dedicated CISO; cybersecurity managed at Public Bank Group level (Irene Deng, Group CISO) [Source: publicbankgroup.com, conf 80]","SHARES PARENT — No dedicated Head of GRC; GRC managed at Public Bank Group level [Source: publicbankgroup.com, conf 80]","SHARES PARENT — No dedicated CFO; financial management shared at Public Bank Group level (Yik Sook Ling, CFO) [Source: publicbankgroup.com, conf 80]","SHARES PARENT — No dedicated CRO; risk managed at Public Bank Group level (Jasmine Loh Sook Ling, Group CRO) [Source: publicbankgroup.com, conf 80]",Amirul Zaharin B. Razalli (Assistant Vice President – Compliance) — publicmutual.com.my/pmb/Our-People,"SHARES PARENT — No dedicated CIO; IT managed at Public Bank Group level (Fam Yoke Fong, Senior GM, IT) [Source: publicbankgroup.com, conf 80]","SHARES PARENT — No dedicated Head of Internal Audit; IA managed at Public Bank Group level (Lim Then Fui, Group Chief Internal Auditor) [Source: publicbankgroup.com, conf 80]"
,3,Asset Management,RHB Asset Management Sdn Bhd,"SHARES PARENT — No dedicated CISO; cybersecurity managed at RHB Group level (Soon Yap, Group CISO) [Source: rhbgroup.com, conf 85]",Azman Shah Md Yaman (Group Chief Legal & Governance Officer) [Source: rhbgroup.com/others/about-us/group-senior-management/index.html],"Mohamed Bin Rastam Shahrom (Group CFO) [Source: rhbgroup.com - AM is part of RHB Investment Bank, Kevin Vijendren Davies MD oversees AM]",Dr Chong Han Hwee (Group CRO) [Source: rhbgroup.com/others/about-us/group-senior-management/index.html],Fazlina Mohamed Ghazalli (Group Chief Compliance Officer) [Source: rhbgroup.com/others/about-us/group-senior-management/index.html],Wong Kwang Leh (Group CTO) [Source: rhbgroup.com/others/about-us/group-senior-management/index.html],Tan Boon Ching (Group Chief Internal Auditor) [Source: rhbgroup.com/others/about-us/group-senior-management/index.html]
,3,Development FIs,Agrobank Malaysia,"Nolan Jeffrey A/L Abdul Hai (Group CIO, CISO-equivalent) [Official: agrobank.com.my/my/home/corporate-info/senior-leadership/, conf 85]",Encik Hussien Mullar (CRO) + Encik Fairoshawal Idrus (Compliance),Encik Zulkeefli Mad Karim,Encik Hussien Mullar,Encik Fairoshawal Idrus,"Nolan Jeffrey A/L Abdul Hai (Group Chief Information Technology Officer) [Official: agrobank.com.my/home/corporate-info/senior-leadership/, conf 95]",Encik Kamarudin Samsudin
,3,Development FIs,Bank Pembangunan Malaysia Berhad (BPMB),"Hairil Izwar Abd Rahman (Group Chief Digital & Technology Officer, CISO-equivalent) [Official: bpmb.com.my/about-us/leadership/, conf 80]",Mohammad Azam Ahmad (Group CRO) + Rohayati Talha (Group CCO) [Composite] [Official: bpmb.com.my],Hee Wei Jean (Group CFO) [Official: bpmb.com.my],Mohammad Azam Ahmad (Group CRO) [Official: bpmb.com.my],Rohayati Talha (Group CCO) [Official: bpmb.com.my],Hairil Izwar Abd Rahman (Group Chief Digital & Technology Officer) [Official: bpmb.com.my],Hasrul Farid Hasnan (Group Chief Internal Auditor) [Official: bpmb.com.my]
